STATION,DATE,NAME,PRCP,SNOW,TMAX,TMIN,TAVG,AWND,WDF5,WSF5
USW00012816,11/13/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,244,128,,,,
USW00012816,11/14/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,256,144,,,,
USW00012816,11/15/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,261,139,,,,
USW00012816,11/16/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,289,128,,,,
USW00012816,11/17/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,289,156,,,,
USW00012816,11/18/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",109,0,256,172,,,,
USW00012816,11/19/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,222,94,,,,
USW00012816,11/20/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,244,94,,,,
USW00012816,11/21/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,250,117,,,,
USW00012816,11/22/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,267,94,,,,
USW00012816,11/23/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,267,128,,,,
USW00012816,11/24/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,278,122,,,,
USW00012816,11/25/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,244,156,,,,
USW00012816,11/26/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,261,156,,,,
USW00012816,11/27/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,278,161,,,,
USW00012816,11/28/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,278,133,,,,
USW00012816,11/29/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,256,150,,,,
USW00012816,11/30/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",10,0,172,33,,,,
USW00012816,12/1/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,139,0,,,,
USW00012816,12/2/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,133,6,,,,
USW00012816,12/3/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,183,17,,,,
USW00012816,12/4/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,194,17,,,,
USW00012816,12/5/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,211,44,,,,
USW00012816,12/6/1960,"GAINESVILLE REGIONAL AIRPORT, FL US",0,0,239,67,,,,
